点类型,点数量,,,,,,,,,,
1,290,,,,,,,,,,
0,1,2,4,13,27,28,51,26,35,6,7
NAME,KIND,DESC,UNIT,PV,OFFMES,ONMES,ALMENAB,NORMALVAL,ALARMPR,GROUP,INDEX
区域,点数量,,,,,,,,,,
0,290,,,,,,,,,,
高压柜\备用电源受电柜保护\遥信量\A53,1,过流加速动作,22,0,,过流加速动作,1,0,1,0,7209
高压柜\备用电源受电柜保护\遥信量\A54,1,过负荷动作,22,0,,过负荷动作,1,0,1,0,7210
高压柜\备用电源受电柜保护\遥信量\A55,1,过流反时限动作,22,0,,过流反时限动作,1,0,1,0,7211
高压柜\备用电源受电柜保护\遥信量\A56,1,负序过流Ⅰ段,22,0,,负序过流Ⅰ段,1,0,1,0,7212
高压柜\备用电源受电柜保护\遥信量\A57,1,负序过流Ⅱ段,22,0,,负序过流Ⅱ段,1,0,1,0,7213
高压柜\备用电源受电柜保护\遥信量\A58,1,过热跳闸,22,0,,过热跳闸,1,0,1,0,7214
高压柜\备用电源受电柜保护\遥信量\A59,1,零序Ⅰ段动作,22,0,,零序Ⅰ段动作,1,0,1,0,7215
高压柜\备用电源受电柜保护\遥信量\A60,1,零序Ⅱ段动作,22,0,,零序Ⅱ段动作,1,0,1,0,7216
高压柜\备用电源受电柜保护\遥信量\A61,1,过流反时限动作,22,0,,过流反时限动作,1,0,1,0,7217
高压柜\备用电源受电柜保护\遥信量\A62,1,过电压动作,22,0,,过电压动作,1,0,1,0,7218
高压柜\备用电源受电柜保护\遥信量\A63,1,低电压动作,22,0,,低电压动作,1,0,1,0,7219
高压柜\备用电源受电柜保护\遥信量\A64,1,超高温跳闸,22,0,,超高温跳闸,1,0,1,0,7220
高压柜\备用电源受电柜保护\遥信量\A65,1,门控跳闸动作,22,0,,门控跳闸动作,1,0,1,0,7221
高压柜\备用电源受电柜保护\遥信量\A66,1,重合闸一次动作,22,0,,重合闸一次动作,1,0,1,0,7222
高压柜\备用电源受电柜保护\遥信量\A67,1,重合闸二次动作,22,0,,重合闸二次动作,1,0,1,0,7223
高压柜\备用电源受电柜保护\遥信量\A68,1,重合闸三次动作,22,0,,重合闸三次动作,1,0,1,0,7224
高压柜\备用电源受电柜保护\遥信量\A69,1,非零序跳闸动作,22,0,,非零序跳闸动作,1,0,1,0,7225
高压柜\B1变压器控制柜保护\遥信量\A1,1,远方控制,10,0,就地控制,远方控制,1,2,1,0,7226
高压柜\B1变压器控制柜保护\遥信量\A2,1,备用,10,0,,备用,1,0,1,0,7227
高压柜\B1变压器控制柜保护\遥信量\A3,1,高温报警,10,0,,高温报警,1,0,1,0,7228
高压柜\B1变压器控制柜保护\遥信量\A4,1,超温跳闸,10,0,,超温跳闸,1,0,1,0,7229
高压柜\B1变压器控制柜保护\遥信量\A5,1,断路器工作位,10,0,断路器退出工作位,断路器到达工作位,1,2,1,0,7230
高压柜\B1变压器控制柜保护\遥信量\A6,1,接地开关合位,10,0,接地开关分位,接地开关合位,1,2,1,0,7231
高压柜\B1变压器控制柜保护\遥信量\A7,1,弹簧未储能,10,0,弹簧已储能,弹簧未储能,1,2,1,0,7232
高压柜\B1变压器控制柜保护\遥信量\A8,1,断路器合位,10,0,断路器分位,断路器合位,1,2,1,0,7233
高压柜\B1变压器控制柜保护\遥信量\A9,1,24V电源,10,0,,24V电源,0,0,1,0,7234
高压柜\B1变压器控制柜保护\遥信量\A10,1,备用10,10,0,,备用,1,0,1,0,7235
高压柜\B1变压器控制柜保护\遥信量\A11,1,备用11,10,0,,备用,1,0,1,0,7236
高压柜\B1变压器控制柜保护\遥信量\A12,1,备用12,10,0,,备用,1,0,1,0,7237
高压柜\B1变压器控制柜保护\遥信量\A13,1,有新事件记录,10,0,,有新事件记录,1,0,1,0,7238
高压柜\B1变压器控制柜保护\遥信量\A14,1,重合充电,10,0,,重合充电,1,0,1,0,7239
高压柜\B1变压器控制柜保护\遥信量\A15,1,告警总,10,0,,告警总,1,0,1,0,7240
高压柜\B1变压器控制柜保护\遥信量\A16,1,事故总,10,0,,事故总,1,0,1,0,7241
高压柜\B1变压器控制柜保护\遥信量\A17,1,串行ROM操作失败,10,0,,串行ROM操作失败,1,0,1,0,7242
高压柜\B1变压器控制柜保护\遥信量\A18,1,时钟错误,10,0,,时钟错误,1,0,1,0,7243
高压柜\B1变压器控制柜保护\遥信量\A19,1,CT相序报警,10,0,,CT相序报警,1,0,1,0,7244
高压柜\B1变压器控制柜保护\遥信量\A20,1,CT断线,10,0,,CT断线,1,0,1,0,7245
高压柜\B1变压器控制柜保护\遥信量\A21,1,PT断线,10,0,,PT断线,1,0,1,0,7246
高压柜\B1变压器控制柜保护\遥信量\A22,1,零序Ⅰ段报警,10,0,,零序Ⅰ段报警,1,0,1,0,7247
高压柜\B1变压器控制柜保护\遥信量\A23,1,零序Ⅱ段报警,10,0,,零序Ⅱ段报警,1,0,1,0,7248
高压柜\B1变压器控制柜保护\遥信量\A24,1,过负荷,10,0,,过负荷,1,0,1,0,7249
高压柜\B1变压器控制柜保护\遥信量\A25,1,过温报警,10,0,,过温报警,1,0,1,0,7250
高压柜\B1变压器控制柜保护\遥信量\A26,1,轻瓦斯报警,10,0,,轻瓦斯报警,1,0,1,0,7251
高压柜\B1变压器控制柜保护\遥信量\A27,1,FC闭锁,10,0,,FC闭锁,1,0,1,0,7252
高压柜\B1变压器控制柜保护\遥信量\A28,1,位置异常,10,0,,位置异常,1,0,1,0,7253
高压柜\B1变压器控制柜保护\遥信量\A29,1,弹簧未储能,10,0,,弹簧未储能,1,0,1,0,7254
高压柜\B1变压器控制柜保护\遥信量\A30,1,开关偷跳,10,0,,开关偷跳,1,0,1,0,7255
高压柜\B1变压器控制柜保护\遥信量\A31,1,电机过热报警,10,0,,电机过热报警,1,0,1,0,7256
高压柜\B1变压器控制柜保护\遥信量\A43,1,系统错误,10,0,,系统错误,1,0,1,0,7257
高压柜\B1变压器控制柜保护\遥信量\A45,1,精度系数错误,10,0,,精度系数错误,1,0,1,0,7258
高压柜\B1变压器控制柜保护\遥信量\A46,1,RAM出错,10,0,,RAM出错,1,0,1,0,7259
高压柜\B1变压器控制柜保护\遥信量\A47,1,定值参数出错,10,0,,定值参数出错,1,0,1,0,7260
高压柜\B1变压器控制柜保护\遥信量\A48,1,出口出错,10,0,,出口出错,1,0,1,0,7261
高压柜\B1变压器控制柜保护\遥信量\A49,1,启动时间长,10,0,,启动时间长,1,0,1,0,7262
高压柜\B1变压器控制柜保护\遥信量\A50,1,速断动作,10,0,,速断动作,1,0,1,0,7263
高压柜\B1变压器控制柜保护\遥信量\A51,1,过流Ⅰ段动作,10,0,,过流Ⅰ段动作,1,0,1,0,7264
高压柜\B1变压器控制柜保护\遥信量\A52,1,过流Ⅱ段动作,10,0,,过流Ⅱ段动作,1,0,1,0,7265
高压柜\B1变压器控制柜保护\遥信量\A53,1,过流加速动作,10,0,,过流加速动作,1,0,1,0,7266
高压柜\B1变压器控制柜保护\遥信量\A54,1,过负荷动作,10,0,,过负荷动作,1,0,1,0,7267
高压柜\B1变压器控制柜保护\遥信量\A55,1,过流反时限动作,10,0,,过流反时限动作,1,0,1,0,7268
高压柜\B1变压器控制柜保护\遥信量\A56,1,负序过流Ⅰ段,10,0,,负序过流Ⅰ段,1,0,1,0,7269
高压柜\B1变压器控制柜保护\遥信量\A57,1,负序过流Ⅱ段,10,0,,负序过流Ⅱ段,1,0,1,0,7270
高压柜\B1变压器控制柜保护\遥信量\A58,1,过热跳闸,10,0,,过热跳闸,1,0,1,0,7271
高压柜\B1变压器控制柜保护\遥信量\A59,1,零序Ⅰ段动作,10,0,,零序Ⅰ段动作,1,0,1,0,7272
高压柜\B1变压器控制柜保护\遥信量\A60,1,零序Ⅱ段动作,10,0,,零序Ⅱ段动作,1,0,1,0,7273
高压柜\B1变压器控制柜保护\遥信量\A61,1,过流反时限动作,10,0,,过流反时限动作,1,0,1,0,7274
高压柜\B1变压器控制柜保护\遥信量\A62,1,过电压动作,10,0,,过电压动作,1,0,1,0,7275
高压柜\B1变压器控制柜保护\遥信量\A63,1,低电压动作,10,0,,低电压动作,1,0,1,0,7276
高压柜\B1变压器控制柜保护\遥信量\A64,1,超高温跳闸,10,0,,超高温跳闸,1,0,1,0,7277
高压柜\B1变压器控制柜保护\遥信量\A65,1,门控跳闸动作,10,0,,门控跳闸动作,1,0,1,0,7278
高压柜\B1变压器控制柜保护\遥信量\A66,1,重合闸一次动作,10,0,,重合闸一次动作,1,0,1,0,7279
高压柜\B1变压器控制柜保护\遥信量\A67,1,重合闸二次动作,10,0,,重合闸二次动作,1,0,1,0,7280
高压柜\B1变压器控制柜保护\遥信量\A68,1,重合闸三次动作,10,0,,重合闸三次动作,1,0,1,0,7281
高压柜\B1变压器控制柜保护\遥信量\A69,1,非零序跳闸动作,10,0,,非零序跳闸动作,1,0,1,0,7282
高压柜\B2变压器控制柜保护\遥信量\A1,1,远方控制,14,0,就地控制,远方控制,1,2,1,0,7283
高压柜\B2变压器控制柜保护\遥信量\A2,1,备用,14,0,,备用,1,0,1,0,7284
高压柜\B2变压器控制柜保护\遥信量\A3,1,高温报警,14,0,,高温报警,1,0,1,0,7285
高压柜\B2变压器控制柜保护\遥信量\A4,1,超温跳闸,14,0,,超温跳闸,1,0,1,0,7286
高压柜\B2变压器控制柜保护\遥信量\A5,1,断路器工作位,14,0,断路器退出工作位,断路器到达工作位,1,2,1,0,7287
高压柜\B2变压器控制柜保护\遥信量\A6,1,接地开关合位,14,0,接地开关分位,接地开关合位,1,2,1,0,7288
高压柜\B2变压器控制柜保护\遥信量\A7,1,弹簧未储能,14,0,弹簧已储能,弹簧未储能,1,2,1,0,7289
高压柜\B2变压器控制柜保护\遥信量\A8,1,断路器合位,14,0,断路器分位,断路器合位,1,2,1,0,7290
高压柜\B2变压器控制柜保护\遥信量\A9,1,24V电源,14,0,,24V电源,0,0,1,0,7291
高压柜\B2变压器控制柜保护\遥信量\A10,1,备用10,14,0,,备用,1,0,1,0,7292
高压柜\B2变压器控制柜保护\遥信量\A11,1,备用11,14,0,,备用,1,0,1,0,7293
高压柜\B2变压器控制柜保护\遥信量\A12,1,备用12,14,0,,备用,1,0,1,0,7294
高压柜\B2变压器控制柜保护\遥信量\A13,1,有新事件记录,14,0,,有新事件记录,1,0,1,0,7295
高压柜\B2变压器控制柜保护\遥信量\A14,1,重合充电,14,0,,重合充电,1,0,1,0,7296
高压柜\B2变压器控制柜保护\遥信量\A15,1,告警总,14,0,,告警总,1,0,1,0,7297
高压柜\B2变压器控制柜保护\遥信量\A16,1,事故总,14,0,,事故总,1,0,1,0,7298
高压柜\B2变压器控制柜保护\遥信量\A17,1,串行ROM操作失败,14,0,,串行ROM操作失败,1,0,1,0,7299
高压柜\B2变压器控制柜保护\遥信量\A18,1,时钟错误,14,0,,时钟错误,1,0,1,0,7300
高压柜\B2变压器控制柜保护\遥信量\A19,1,CT相序报警,14,0,,CT相序报警,1,0,1,0,7301
高压柜\B2变压器控制柜保护\遥信量\A20,1,CT断线,14,0,,CT断线,1,0,1,0,7302
高压柜\B2变压器控制柜保护\遥信量\A21,1,PT断线,14,0,,PT断线,1,0,1,0,7303
高压柜\B2变压器控制柜保护\遥信量\A22,1,零序Ⅰ段报警,14,0,,零序Ⅰ段报警,1,0,1,0,7304
高压柜\B2变压器控制柜保护\遥信量\A23,1,零序Ⅱ段报警,14,0,,零序Ⅱ段报警,1,0,1,0,7305
高压柜\B2变压器控制柜保护\遥信量\A24,1,过负荷,14,0,,过负荷,1,0,1,0,7306
高压柜\B2变压器控制柜保护\遥信量\A25,1,过温报警,14,0,,过温报警,1,0,1,0,7307
高压柜\B2变压器控制柜保护\遥信量\A26,1,轻瓦斯报警,14,0,,轻瓦斯报警,1,0,1,0,7308
高压柜\B2变压器控制柜保护\遥信量\A27,1,FC闭锁,14,0,,FC闭锁,1,0,1,0,7309
高压柜\B2变压器控制柜保护\遥信量\A28,1,位置异常,14,0,,位置异常,1,0,1,0,7310
高压柜\B2变压器控制柜保护\遥信量\A29,1,弹簧未储能,14,0,,弹簧未储能,1,0,1,0,7311
高压柜\B2变压器控制柜保护\遥信量\A30,1,开关偷跳,14,0,,开关偷跳,1,0,1,0,7312
高压柜\B2变压器控制柜保护\遥信量\A31,1,电机过热报警,14,0,,电机过热报警,1,0,1,0,7313
